来源,检测项,reason,原始相对路径,复制为,duration_sec,rms,peak_abs,clipping_ratio,frame_rms_mean,frame_rms_cv,frame_rms_p50,frame_rms_p99,pre_silence_sec,post_silence_sec,late_start_ratio,zcr
input,clipped,"clipped: peak=1.000, ratio=0.0018, rms=0.19645",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段1/260325363009690000000008_333_2781372.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段1__260325363009690000000008_333_2781372.wav,5.52,0.19645,1.0,0.00184,0.16393,0.664,0.12239,0.44841,0.0,0.0,0.4848,0.7771
input,clipped,"clipped: peak=1.000, ratio=0.0011, rms=0.18308",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段1/260325363136680000000007_333_2783716.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段1__260325363136680000000007_333_2783716.wav,5.67,0.18308,1.0,0.00109,0.15963,0.573,0.11914,0.41199,0.0,0.0,0.4326,0.7803
input,clipped,"clipped: peak=1.000, ratio=0.0017, rms=0.20836",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段1/260325363156890000000008_333_2784539.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段1__260325363156890000000008_333_2784539.wav,5.51,0.20836,1.0,0.00165,0.17894,0.598,0.12843,0.44961,0.0,0.0,0.4386,0.838
input,clipped,"clipped: peak=1.000, ratio=0.0015, rms=0.25127",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段1/260325363172030000000002_333_2786176.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段1__260325363172030000000002_333_2786176.wav,5.56,0.25127,1.0,0.00155,0.21503,0.611,0.17894,0.44068,0.0,0.0,0.3976,0.7949
input,clipped,"clipped: peak=1.000, ratio=0.0016, rms=0.26075",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段1/260325363172070000000006_333_2786212.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段1__260325363172070000000006_333_2786212.wav,5.62,0.26075,1.0,0.00159,0.23469,0.488,0.17215,0.46066,0.0,0.0,0.5473,0.8756
input,clipped,"clipped: peak=1.000, ratio=0.0012, rms=0.20446",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段1/260325363177480000000007_333_2787017.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段1__260325363177480000000007_333_2787017.wav,5.59,0.20446,1.0,0.00115,0.17568,0.602,0.13439,0.4054,0.0,0.0,0.5367,0.7812
input,clipped,"clipped: peak=1.000, ratio=0.0076, rms=0.31048",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段1/260326009025830000000002_333_2788433.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段1__260326009025830000000002_333_2788433.wav,5.51,0.31048,1.0,0.00758,0.25325,0.711,0.18711,0.52944,0.0,0.0,0.3326,0.8248
input,clipped,"clipped: peak=1.000, ratio=0.0019, rms=0.25089",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段1/260326009025960000000005_333_2788505.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段1__260326009025960000000005_333_2788505.wav,5.36,0.25089,1.0,0.00185,0.21777,0.584,0.18088,0.41536,0.0,0.0,0.3987,0.8242
input,clipped,"clipped: peak=1.000, ratio=0.0069, rms=0.30972",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段2/260325363009690000000008_333_2781374.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段2__260325363009690000000008_333_2781374.wav,2.76,0.30972,1.0,0.00694,0.25777,0.686,0.1161,0.46268,0.0,0.0,0.2508,0.7846
input,clipped,"clipped: peak=1.000, ratio=0.0016, rms=0.31011",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段2/260325363134880000000007_333_2783333.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段2__260325363134880000000007_333_2783333.wav,2.91,0.31011,1.0,0.00158,0.26863,0.58,0.16416,0.46021,0.0,0.0,0.5481,0.8655
input,clipped,"clipped: peak=1.000, ratio=0.0026, rms=0.30160",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段2/260325363136680000000007_333_2783719.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段2__260325363136680000000007_333_2783719.wav,2.57,0.3016,1.0,0.00263,0.27364,0.49,0.26409,0.41994,0.0,0.0,0.4222,0.8725
input,clipped,"clipped: peak=1.000, ratio=0.0110, rms=0.31536",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段2/260325363156890000000008_333_2784542.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段2__260325363156890000000008_333_2784542.wav,2.77,0.31536,1.0,0.01103,0.27386,0.596,0.15207,0.48521,0.0,0.0,0.5009,0.877
