来源,reason,原始相对路径,duration_sec,rms
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363172200000000009_333_2786277.wav,4.91,0.12429
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009022780000000007_333_2787988.wav,5.16,0.09359
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009025950000000004_333_2788496.wav,5.15,0.09925
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363166150000000004_333_2785159.wav,4.86,0.22143
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009026640000000003_333_2788813.wav,4.9,0.17123
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363059950000000004_333_2782179.wav,5.08,0.16798
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009026620000000001_333_2788795.wav,4.92,0.09221
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363134320000000001_333_2783159.wav,5.1,0.07673
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326010012690000000008_333_2790074.wav,4.91,0.15527
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363120950000000004_333_2782809.wav,5.16,0.10968
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363157370000000006_333_2784638.wav,4.76,0.15154
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009010660000000005_333_2787352.wav,4.96,0.1333
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363168510000000000_333_2785602.wav,5.36,0.0874
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363137980000000007_333_2783880.wav,5.12,0.10161
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009034920000000001_333_2789508.wav,5.16,0.10275
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363172340000000003_333_2786333.wav,4.85,0.08118
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009026750000000004_333_2788876.wav,5.17,0.08649
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009025790000000008_333_2788406.wav,5.39,0.18006
